_id,SiteAddress,District,Ward,Status
1,10 MAYNARD AVE   ,Toronto and East York,04,In Progress
2,10 SORAUREN AVE   ,Toronto and East York,04,Inactive
3,100 LIPPINCOTT ST   ,Toronto and East York,11,Inactive
4,101 BRUNSWICK AVE   ,Toronto and East York,11,Active
5,101 ENDERBY RD   ,Toronto and East York,19,In Progress
6,101 GLOUCESTER ST   ,Toronto and East York,13,Inactive
7,101 SPADINA RD   ,Toronto and East York,11,Active
8,102 SPENCER AVE   ,Toronto and East York,04,In Progress
9,103 SPADINA RD   ,Toronto and East York,11,Active
10,103 TYNDALL AVE   ,Toronto and East York,04,
11,104 BEDFORD RD   ,Toronto and East York,11,In Progress
12,1041 DUFFERIN ST   ,Toronto and East York,09,Active
13,105 OAKWOOD AVE   ,Toronto and East York,09,Active
14,105 WESTMOUNT AVE   ,Toronto and East York,09,Inactive
15,106 BEVERLEY ST   ,Toronto and East York,10,In Progress
16,106 SPADINA RD   ,Toronto and East York,11,Inactive
17,109 DELROY DR   ,Etobicoke York,03,Active
18,1097 DUFFERIN ST   ,Toronto and East York,09,Active
19,11 A ELM GROVE AVE   ,Toronto and East York,04,Active
20,11 ELM GROVE AVE   ,Toronto and East York,04,Active
21,11 FAIRVIEW BLVD   ,Toronto and East York,14,In Progress
22,11 HOMEWOOD AVE   ,Toronto and East York,13,In Progress
23,11 LAXTON AVE   ,Toronto and East York,04,In Progress
24,11 SPADINA RD   ,Toronto and East York,11,In Progress
25,112 SPENCER AVE   ,Toronto and East York,04,In Progress
26,1134 DUFFERIN ST   ,Toronto and East York,09,In Progress
27,1159 ST CLAIR AVE W  ,Toronto and East York,09,Active
28,116 SPENCER AVE   ,Toronto and East York,04,Inactive
29,116-118 SPENCER AVE   ,Toronto and East York,04,Active
30,117 DOWLING AVE   ,Toronto and East York,04,Active
31,117 PEMBROKE ST   ,Toronto and East York,13,In Progress
32,118 DOWLING AVE   ,Toronto and East York,04,Inactive
33,118 LAUDER AVE   ,Toronto and East York,09,In Progress
34,118 SPADINA RD   ,Toronto and East York,11,Inactive
35,1186 GERRARD ST E  ,Toronto and East York,14,Inactive
36,119 DOWLING AVE   ,Toronto and East York,04,In Progress
37,12 NETHERLY DR   ,Etobicoke York,01,In Progress
38,120 SPENCER AVE   ,Toronto and East York,04,
39,122 SPENCER AVE   ,Toronto and East York,04,
40,123 MADISON AVE   ,Toronto and East York,11,In Progress
41,124 SPADINA RD   ,Toronto and East York,11,Active
42,124 SPENCER AVE   ,Toronto and East York,04,Inactive
43,127 DUNN AVE   ,Toronto and East York,04,Active
44,127 ISABELLA ST   ,Toronto and East York,13,In Progress
45,1298 DANFORTH AVE   ,Toronto and East York,14,Inactive
46,13 HOMEWOOD AVE   ,Toronto and East York,13,Active
47,13 HOMEWOOD AVE   ,Toronto and East York,13,In Progress
48,1302 KING ST W  ,Toronto and East York,04,In Progress
49,1326 KING ST W  ,Toronto and East York,04,In Progress
50,1330 KING ST W  ,Toronto and East York,04,Inactive
51,1335 KING ST W  ,Toronto and East York,04,Inactive
52,134 CRESCENT RD   ,Toronto and East York,11,Active
53,136 BEDFORD RD   ,Toronto and East York,11,In Progress
54,136 CLOSE AVE   ,Toronto and East York,04,In Progress
55,1363 KING ST W  ,Toronto and East York,04,Inactive
56,1365 BATHURST ST   ,Toronto and East York,12,Active
57,137 BATHURST ST   ,Toronto and East York,10,In Progress
58,137 HAVELOCK ST   ,Toronto and East York,09,Inactive
59,137 JARVIS ST   ,Toronto and East York,13,Inactive
60,1371 KING ST W  ,Toronto and East York,04,In Progress
61,138 CLOSE AVE   ,Toronto and East York,04,In Progress
62,138 JONES AVE   ,Toronto and East York,14,Active
63,140 SPADINA RD   ,Toronto and East York,11,In Progress
64,1417 DUNDAS ST W  ,Toronto and East York,09,Active
65,143 DOWLING AVE   ,Toronto and East York,04,Active
66,144-148 AUGUSTA AVE   ,Toronto and East York,11,Inactive
67,145 GERRARD ST E  ,Toronto and East York,13,In Progress
68,147 GERRARD ST E  ,Toronto and East York,13,In Progress
69,149 COWAN AVE   ,Toronto and East York,04,Active
70,149 DUNDAS ST E  ,Toronto and East York,13,In Progress
71,149 TYNDALL AVE   ,Toronto and East York,04,In Progress
72,15 HOMEWOOD AVE   ,Toronto and East York,13,
73,15 HOMEWOOD AVE   ,Toronto and East York,13,Active
74,15 TEMPLE AVE   ,Toronto and East York,04,In Progress
75,15 THORBURN AVE   ,Toronto and East York,04,
76,15 WILSON PARK RD   ,Toronto and East York,04,Active
77,150 COWAN AVE   ,Toronto and East York,04,Active
78,150 SPRINGHURST AVE   ,Toronto and East York,04,Active
79,1501 KING ST W  ,Toronto and East York,04,In Progress
80,1506 KING ST W  ,Toronto and East York,04,In Progress
81,151 DUNN AVE   ,Toronto and East York,04,In Progress
82,151 TYNDALL AVE   ,Toronto and East York,04,In Progress
83,1510 KING ST W  ,Toronto and East York,04,Active
84,1512 KING ST W  ,Toronto and East York,04,In Progress
85,1516 KING ST W  ,Toronto and East York,04,In Progress
86,1518 KING ST W  ,Toronto and East York,04,
87,1518 KING ST W  ,Toronto and East York,04,In Progress
88,1524 KING ST W  ,Toronto and East York,04,Inactive
89,1549 QUEEN ST W  ,Toronto and East York,04,Active
90,155 DUNN AVE   ,Toronto and East York,04,Inactive
91,155 SPRINGHURST AVE   ,Toronto and East York,04,Inactive
92,1554 KING ST W  ,Toronto and East York,04,Active
93,1558 B DAVENPORT RD   ,Toronto and East York,09,Inactive
94,1558 DAVENPORT RD   ,Toronto and East York,09,Active
95,156 COWAN AVE   ,Toronto and East York,04,Active
96,156 SPADINA RD   ,Toronto and East York,11,Inactive
97,157 DUNN AVE   ,Toronto and East York,04,Active
98,158 DOWLING AVE   ,Toronto and East York,04,In Progress
99,16 LANSDOWNE AVE   ,Toronto and East York,04,In Progress
100,16 SPENCER AVE   ,Toronto and East York,04,Active
101,160 DOWLING AVE   ,Toronto and East York,04,Inactive
102,160 OAKWOOD AVE   ,Toronto and East York,09,Active
103,160 SPADINA RD   ,Toronto and East York,11,Active
104,161 DUNN AVE   ,Toronto and East York,04,Active
105,162 MADISON AVE   ,Toronto and East York,11,In Progress
106,162 SPADINA RD   ,Toronto and East York,11,Active
107,163 SPADINA RD   ,Toronto and East York,11,Active
108,164 CLOSE AVE   ,Toronto and East York,04,Active
109,164 SPADINA RD   ,Toronto and East York,11,In Progress
110,166 DOWLING AVE   ,Toronto and East York,04,Active
111,168 ISABELLA ST   ,Toronto and East York,13,Active
112,169 DOWLING AVE   ,Toronto and East York,04,In Progress
113,169 SHAW ST   ,Toronto and East York,10,In Progress
114,17 EDGEWOOD AVE   ,Toronto and East York,19,In Progress
115,17 HOMEWOOD AVE   ,Toronto and East York,13,Active
116,17 SPRINGHURST AVE   ,Toronto and East York,04,
117,171 LESLIE ST   ,Toronto and East York,14,In Progress
118,1723 DUFFERIN ST   ,Toronto and East York,09,In Progress
119,1725 DUFFERIN ST   ,Toronto and East York,09,Active
120,174 HIGH PARK AVE   ,Toronto and East York,04,Inactive
121,175 KEELE ST   ,Toronto and East York,04,Inactive
122,178 DOWLING AVE   ,Toronto and East York,04,Active
123,179 DOWLING AVE   ,Toronto and East York,04,Active
124,18 MAYNARD AVE   ,Toronto and East York,04,Active
125,18 ULSTER ST   ,Toronto and East York,11,Active
126,180 DOWLING AVE   ,Toronto and East York,04,Active
127,180 PERTH AVE   ,Toronto and East York,09,In Progress
128,180 SHERBOURNE ST   ,Toronto and East York,13,Inactive
129,181 DOWLING AVE   ,Toronto and East York,04,Active
130,182 DOWLING AVE   ,Toronto and East York,04,Active
131,184 SHERBOURNE ST   ,Toronto and East York,13,In Progress
132,185 DOWLING AVE   ,Toronto and East York,04,Active
133,1868 BLOOR ST W  ,Toronto and East York,04,Active
134,187 DUNN AVE   ,Toronto and East York,04,Active
135,189 DUNN AVE   ,Toronto and East York,04,In Progress
136,19 HOMEWOOD AVE   ,Toronto and East York,13,In Progress
137,190 DUNN AVE   ,Toronto and East York,04,Active
138,191 DUNN AVE   ,Toronto and East York,04,In Progress
139,192 DUNN AVE   ,Toronto and East York,04,Active
140,1926 BLOOR ST W  ,Toronto and East York,04,In Progress
141,193 DUNN AVE   ,Toronto and East York,04,In Progress
142,194 DUNN AVE   ,Toronto and East York,04,Active
143,196 BEVERLEY ST   ,Toronto and East York,11,In Progress
144,197 CARLTON ST   ,Toronto and East York,13,Active
145,198 DUNN AVE   ,Toronto and East York,04,Active
146,199 BERKELEY ST   ,Toronto and East York,13,Active
147,199 CARLTON ST   ,Toronto and East York,13,Active
148,2 ELM GROVE AVE   ,Toronto and East York,04,In Progress
149,2 LAXTON AVE   ,Toronto and East York,04,Active
150,20 MAYNARD AVE   ,Toronto and East York,04,In Progress
151,201 CARLTON ST   ,Toronto and East York,13,Active
152,203 DUNN AVE   ,Toronto and East York,04,Inactive
153,203 SPADINA RD   ,Toronto and East York,11,Inactive
154,205 BERKELEY ST   ,Toronto and East York,13,In Progress
155,205 CARLTON ST   ,Toronto and East York,13,Active
156,206 CARLTON ST   ,Toronto and East York,13,Inactive
157,207 BERKELEY ST   ,Toronto and East York,13,Inactive
158,209 CARLTON ST   ,Toronto and East York,13,Inactive
159,21 HIGH PARK BLVD   ,Toronto and East York,04,Active
160,21 HOMEWOOD AVE   ,Toronto and East York,13,Active
161,21 OXFORD ST   ,Toronto and East York,11,Active
162,210 BEVERLEY ST   ,Toronto and East York,11,Active
163,213 CARLTON ST   ,Toronto and East York,13,In Progress
164,2140 BLOOR ST W  ,Toronto and East York,04,Active
165,216 DUNN AVE   ,Toronto and East York,04,Active
166,2178 GERRARD ST E  ,Toronto and East York,19,Active
167,219 SPADINA RD   ,Toronto and East York,11,Inactive
168,2190 GERRARD ST E  ,Toronto and East York,19,Active
169,22 CLOVERDALE RD   ,Toronto and East York,09,Active
170,22 SPRINGHURST AVE   ,Toronto and East York,04,Active
171,220 CARLTON ST   ,Toronto and East York,13,Inactive
172,221 WRIGHT AVE   ,Toronto and East York,04,Inactive
173,222 CARLTON ST   ,Toronto and East York,13,Active
174,223 CARLTON ST   ,Toronto and East York,13,In Progress
175,223 SPADINA RD   ,Toronto and East York,11,Inactive
176,224 PARLIAMENT ST   ,Toronto and East York,13,Active
177,224 PARLIAMENT ST   ,Toronto and East York,13,In Progress
178,226 NAIRN AVE   ,Toronto and East York,09,Inactive
179,228 BEVERLEY ST   ,Toronto and East York,11,Active
180,229 CRAWFORD ST   ,Toronto and East York,10,In Progress
181,229 MANNING AVE   ,Toronto and East York,11,In Progress
182,23 MADISON AVE   ,Toronto and East York,11,Active
183,230 CARLTON ST   ,Toronto and East York,13,Inactive
184,232 CARLTON ST   ,Toronto and East York,13,Inactive
185,234 CARLTON ST   ,Toronto and East York,13,In Progress
186,236 CARLTON ST   ,Toronto and East York,13,In Progress
187,241 SHERBOURNE ST   ,Toronto and East York,13,Inactive
